singular;plural;se_indefinite_article;se_singular;se_plural;dk_indefinite_article;dk_singular;dk_plural;no_indefinite_article;no_singular;no_plural;fi_indefinite_article;fi_singular;fi_plural;de_indefinite_article;de_singular;de_plural;nl_indefinite_article;nl_singular;nl_plural;fr_indefinite_article;fr_singular;fr_plural
wintersweet;;1;vinterkryddbuske;vinterkryddbuskar;;vintersødt;vintersøde;;vintersøt;vintersøte;;;;;;;;;;;;
wolf;wolves;1;varg;vargar;1;ulv;ulve;1;ulv;ulver;;;;;;;;;;;;
women;womens;;;;1;dame;damer;1;dame;damer;;;;;;;;;;;;
emerald;emeralds;;;;1;smaragd;smaragder;;;;;;;;;;;;;;;
jellyfish;jellyfishes;;;;1;vandmand;vandmænd;;;;;;;;;;;;;;;
hand;hands;;;;1;hånd;hænder;;;;;;;;;;;;;;;
snowman;snowmen;;;;1;snemand;snemænd;;;;;;;;;;;;;;;
fish;fishes;;;;1;fisk;fisk;;;;;;;;;;;;;;;
pineapple;pineapples;;;;1;ananas;ananas;;;;;;;;;;;;;;;
snow;;;;;;sne;;;;;;;;;;;;;;;;
street;streets;;;;;;;1;gate;gater;;;;;;;;;;;;
